Time, Ax, Ay, Az, Gx, Gy, Gz
2424, 0.64062, -0.03979, -0.03589, 13.54980, 147.88818, 23.25439
2433, 0.66882, -0.02271, -0.03857, 7.56836, 134.52148, 23.80371
2441, 0.69226, -0.02002, -0.05481, 3.41797, 123.22998, 21.30127
2450, 0.69019, 0.00793, -0.10022, 2.07520, 112.24365, 17.57813
2458, 0.69019, 0.02185, -0.14429, 0.61035, 99.60938, 14.22119
2466, 0.70825, 0.02185, -0.14429, -1.77002, 87.64648, 10.13184
2474, 0.72375, 0.01013, -0.18286, -1.77002, 87.64648, 10.13184
2483, 0.72522, -0.00427, -0.21130, -4.27246, 76.47705, 0.61035
2491, 0.70764, -0.01306, -0.25806, -5.37109, 63.53760, 0.61035
2500, 0.70081, -0.03210, -0.28918, -5.12695, 47.60742, -1.28174
2509, 0.68542, -0.05237, -0.30762, -3.41797, 29.54102, 0.67139
2518, 0.66638, -0.07385, -0.32764, 0.54932, -10.19287, 5.55420
2527, 0.66101, -0.08899, -0.35706, 13.91602, -35.52246, 11.47461
2535, 0.64575, -0.09033, -0.38330, 13.91602, -35.52246, 18.37158
2544, 0.65686, -0.12085, -0.39734, 20.99609, -90.57617, 22.88818
2553, 0.61230, -0.06055, -0.39746, 21.78955, -113.40332, 26.61133
2562, 0.64258, -0.03943, -0.35461, 12.26807, -129.82178, 25.81787
2571, 0.65662, 0.01367, -0.34753, -1.09863, -140.01465, 22.33887
2580, 0.66394, 0.01318, -0.33154, -17.27295, -149.47510, 17.08984
2589, 0.66064, 0.02283, -0.28784, -34.66797, -160.09521, 10.86426
2598, 0.60486, 0.03699, -0.22009, -50.29297, -174.31641, 4.94385
2607, 0.53333, 0.03784, -0.11243, -61.76758, -192.44385, 2.68555
2615, 0.47180, 0.00708, -0.01685, -65.97900, -213.62305, 7.01904
2623, 0.37805, -0.02283, 0.07886, -62.37793, -236.14502, 16.78467
2632, 0.31335, -0.00208, 0.21179, -54.07715, -259.82666, 30.21240
2640, 0.31335, -0.00208, 0.21179, -41.19873, -282.53174, 46.32568
2648, 0.30823, 0.05713, 0.37573, -41.19873, -282.53174, 58.47168
2657, 0.38684, 0.15930, 0.55444, -10.31494, -306.33545, 57.43408
2666, 0.51843, 0.23523, 0.70288, 15.44189, -301.33057, 41.68701
2674, 0.56897, 0.29199, 0.80017, 15.44189, -301.33057, 17.33398
2683, 0.55774, 0.29187, 0.81824, 42.54150, -286.56006, -7.44629
2692, 0.49329, 0.24158, 0.73059, 79.77295, -284.30176, -27.64893
2700, 0.35754, 0.15100, 0.66284, 79.77295, -284.30176, -43.27393
2709, 0.19287, 0.03784, 0.63220, 80.38330, -284.79004, -43.02979
2717, 0.04297, -0.10718, 0.66125, 69.15283, -284.79004, -43.02979
2726, -0.05896, -0.26575, 0.77917, 51.14746, -276.18408, -31.25000
2735, -0.13135, -0.34558, 0.91260, 30.02930, -226.31836, 15.99121
2744, -0.13000, -0.31580, 0.98718, 2.44141, -211.36475, 39.06250
2753, -0.03174, -0.17163, 0.99548, -0.36621, -200.74463, 49.13330
2764, 0.02930, 0.02625, 1.14856, 6.34766, -199.34082, 47.24121
2772, 0.02100, 0.01965, 1.21936, 18.73779, -196.53320, 38.81836
2780, -0.02161, 0.00378, 1.24792, 28.07617, -185.91309, 27.34375
2788, -0.02161, -0.05872, 1.26184, 28.80859, -169.43359, 14.83154
2797, -0.10413, -0.01575, 1.28943, 21.11816, -149.04785, 1.64795
2806, -0.16162, -0.05396, 1.34033, 9.88770, -128.11279, -6.65283
2815, -0.19812, -0.07422, 1.42053, -2.38037, -107.60498, -12.20703
2824, -0.24219, -0.09802, 1.49194, -11.90186, -86.30371, -13.91602
2833, -0.27197, -0.11182, 1.54114, -17.33398, -65.73486, -11.10840
2842, -0.29834, -0.09314, 1.50720, -17.27295, -48.27881, -6.28662
2851, -0.29285, -0.06372, 1.47180, -13.30566, -38.45215, -0.97656
2860, -0.26782, -0.06921, 1.48572, -7.44629, -37.90283, 1.64795
2869, -0.26843, -0.08350, 1.52148, -0.42725, -38.63525, -0.48828
2878, -0.28247, -0.10388, 1.55664, 6.34766, -35.15625, -3.29590
2887, -0.28699, -0.12537, 1.57617, 11.77979, -27.03857, -6.83594
2895, -0.31335, -0.16248, 1.57690, 15.13672, -15.74707, -10.80322
2903, -0.33984, -0.19653, 1.58545, 15.07568, -2.86865, -13.79395
2912, -0.36865, -0.21631, 1.60632, 11.77979, 12.32910, -15.25879
2921, -0.38330, -0.23596, 1.63025, 8.54492, 30.39551, -14.16016
2930, -0.37817, -0.24451, 1.63928, 6.53076, 50.53711, -10.92529
2939, -0.36548, -0.23157, 1.61511, 6.83594, 71.89941, -7.38525
2948, -0.34546, -0.21423, 1.57849, 8.36182, 92.77344, -4.21143
2957, -0.29871, -0.18591, 1.55908, 9.39941, 112.54883, -1.89209
2965, -0.27625, -0.16797, 1.52759, 10.37598, 129.63867, -1.77002
2973, -0.25024, -0.19031, 1.48608, 11.23047, 146.36230, -2.31934
2981, -0.24609, -0.20508, 1.45886, 10.62012, 163.39111, -2.62451
2989, -0.25208, -0.20435, 1.42334, 9.03320, 180.23682, -1.22070
2997, -0.23328, -0.18579, 1.39307, 6.59180, 195.43457, 3.47900
3005, -0.23328, -0.18579, 1.39307, 3.47900, 209.53369, 9.70459
3013, -0.19897, -0.16284, 1.35742, 3.47900, 225.15869, 15.62500
3021, -0.15002, -0.15234, 1.30591, 0.48828, 221.67969, 15.62500
3029, -0.09131, -0.11462, 1.26501, -1.64795, 228.45459, 20.69092
3037, -0.00085, -0.09875, 1.22388, -3.47900, 233.39844, 23.31543
3045, 0.04700, -0.07910, 1.18250, -5.00488, 239.31885, 23.01025
3053, 0.07886, -0.06030, 1.13708, -6.40869, 242.12646, 21.30127
3061, 0.13489, -0.07153, 1.09106, -6.10352, 242.73682, 20.69092
3069, 0.19385, -0.06738, 1.05786, -4.57764, 241.21094, 20.75195
3077, 0.21936, -0.02148, 1.10718, -0.12207, 236.87744, 20.14160
