Time,Ax,Ay,Az,Gx,Gy,Gz
2849,0.15039,0.37988,0.03186,4.88281,63.17139,17.82227
2857,0.19604,0.422,0.02881,5.67627,61.64551,13.73291
2865,0.23633,0.44873,0.01758,6.46973,58.77686,9.33838
2873,0.29175,0.46875,0.01221,5.49316,56.15234,4.76074
2881,0.3363,0.48242,0.02747,3.17383,55.11475,-1.52588
2890,0.36658,0.48486,0.02625,1.70898,53.95508,-8.91113
2899,0.38135,0.47339,0.0177,0.67139,52.36816,-17.82227
2908,0.40344,0.45239,0.01514,-1.95312,50.96436,-25.57373
2917,0.43286,0.4425,0.00854,-4.76074,49.49951,-30.82275
2926,0.48694,0.42212,0.01099,-8.23975,48.52295,-32.89795
2934,0.55957,0.42944,0.01294,-12.26807,48.27881,-30.0293
2943,0.65112,0.44934,0.00049,-15.93018,49.25537,-22.27783
2951,0.81396,0.44202,-0.03174,-19.9585,51.08643,-10.13184
2960,1.0033,0.4541,-0.0509,-25.87891,49.37744,2.01416
2968,1.21985,0.49744,-0.02002,-33.14209,40.58838,14.70947
2976,1.45093,0.56079,0.06409,-39.36768,21.3623,25.45166
2984,1.62891,0.63599,0.17078,-41.68701,-6.04248,31.55518
2992,1.74585,0.64502,0.26123,-38.39111,-37.65869,30.70068
3000,1.81348,0.55371,0.31689,-33.87451,-68.0542,26.42822
3008,1.81348,0.55371,0.31689,-30.63965,-91.79688,23.4375
3016,1.7926,0.46936,0.37903,-30.63965,-91.79688,23.4375
3024,1.76038,0.3728,0.46594,-28.56445,-102.66113,24.90234
3032,1.68262,0.22937,0.50488,-26.97754,-97.77832,28.9917
3040,1.60083,0.05029,0.52026,-27.40479,-79.58984,34.30176
3049,1.52673,-0.12097,0.51245,-28.62549,-55.7251,42.05322
3058,1.47998,-0.27087,0.47095,-27.28271,-35.7666,53.95508
3066,1.42603,-0.33838,0.40393,-22.70508,-24.35303,70.43457
3075,1.38977,-0.3396,0.33081,-16.6626,-18.98193,90.51514
3084,1.36023,-0.28186,0.24829,-10.00977,-18.49365,110.04639
3093,1.33032,-0.19434,0.17065,-6.53076,-19.16504,122.98584
3102,1.28064,-0.07617,0.12671,-6.71387,-18.18848,126.46484
3111,1.21924,0.02136,0.08728,-7.56836,-17.94434,121.03271
3120,1.11865,0.03137,0.02051,-6.40869,-20.1416,107.84912
3129,0.9729,-0.05933,-0.05933,-6.40869,-24.59717,76.11084
3138,0.80908,-0.19592,-0.09827,-9.70459,-34.42383,66.89453
3147,0.65405,-0.32678,-0.10352,-15.01465,-38.75732,64.45313
3156,0.52441,-0.41333,-0.0863,-13.67187,-42.60254,67.44385
3165,0.41833,-0.47083,-0.08289,-10.37598,-45.53223,72.99805
3174,0.47351,-0.40979,-0.04687,-7.20215,-47.24121,77.20947
3182,0.47351,-0.40979,-0.01563,-3.17383,-49.86572,75.8667
3191,0.65588,-0.2937,-0.02332,0.48828,-54.13818,67.0166
3199,0.64319,-0.2937,-0.02332,1.64795,-56.88477,52.12402
3208,0.71179,-0.22778,0.02222,2.31934,-57.12891,33.87451
3216,0.77075,-0.19568,0.08911,2.31934,-57.12891,14.34326
3224,0.7998,-0.20312,0.1449,4.94385,-54.62646,14.34326
3232,0.79309,-0.22266,0.18921,8.11768,-47.72949,-3.96729
3241,0.80249,-0.24146,0.22888,11.2915,-36.43799,-18.12744
3251,0.83374,-0.24646,0.24292,30.76172,-11.16943,-34.11865
3261,0.97388,-0.13379,0.27295,24.4751,0,-39.91699
3270,1.07324,-0.0835,0.27551,30.27344,8.72803,-47.05811
3279,1.1748,-0.0332,0.28992,35.27832,14.28223,-57.00684
3287,1.27258,-0.00586,0.33105,38.20801,16.47949,-69.33594
3295,1.27258,-0.00586,0.4248,41.19873,16.72363,-83.25195
3304,1.4209,-0.01917,0.49927,45.28809,16.8457,-95.52002
3313,1.53394,-0.0907,0.57812,49.86572,19.47021,-103.8208
3322,1.65344,-0.14587,0.66809,53.03955,27.09961,-106.62842
3330,1.80969,-0.16772,0.76953,54.62646,39.91699,-104.00391
3339,1.97278,-0.13416,0.84729,56.7627,54.6875,-95.27588
3348,2.11182,0.01758,0.9292,58.59375,67.13867,-84.28955
3356,2.11182,0.19458,0.96582,61.82861,75.31738,-71.77734
3365,2.36108,0.39258,0.98267,64.5752,75.50049,-62.74414
3373,2.36108,0.39258,0.98267,64.08691,71.22803,-61.21826
3381,2.36841,0.58484,1.02625,64.08691,71.22803,-64.7583
