 Ax, Ay, Az, Gx, Gy, Gz
0.50269,1.92981,2.81653,-19.40918,173.15674,137.3291
0.53284,1.30127,3.22742,-18.9209,132.01904,191.28418
0.47571,0.22034,2.90625,-27.70996,65.7959,231.14014
0.65381,-0.61426,3.57312,-52.24609,23.25439,240.47852
0.6875,-1.40833,3.61902,-64.5752,-46.63086,219.48242
0.71204,-1.76819,3.50598,-34.36279,-116.57715,169.25049
0.70166,-1.80127,2.8064,17.33398,-186.88965,119.07959
0.73376,-1.94751,1.83826,86.05957,-226.31836,71.77734
0.63489,-1.79907,0.84033,134.21631,-234.68018,20.01953
0.50732,-1.65381,0.28882,151.55029,-218.68896,-27.52686
0.35291,-1.48486,-0.45215,122.07031,-200.8667,-72.87598
0.1991,-1.15625,-0.62317,99.12109,-151.12305,-111.32813
0.10986,-0.90063,-0.67407,81.23779,-112.48779,-131.7749
0.06677,-0.61853,-0.84106,58.83789,-79.89502,-141.78467
0.04175,-0.38562,-0.96802,48.0957,-41.3208,-145.44678
0.04187,-0.05322,-0.97766,33.87451,-1.40381,-144.9585
0.02002,0.30884,-0.9552,10.37598,38.69629,-135.37598
0.00879,0.60059,-0.86243,-12.45117,80.32227,-118.46924
0.05408,0.74792,-0.56396,-29.1748,124.57275,-102.05078
0.13599,1.0968,-0.25842,-38.0249,158.3252,-92.22412
0.15735,1.57886,0.15955,-19.59229,188.35449,-76.78223
0.18445,1.92261,0.73621,4.69971,207.27539,-44.92188
0.21472,2.03491,0.92297,0,201.29395,-0.54932
0.33093,2.02991,1.2478,-12.69531,206.17676,45.89844
0.4364,1.94922,1.90588,-24.90234,212.34131,94.17725
0.58508,1.71094,2.75757,-16.90674,199.40186,142.02881
0.6322,1.00586,3.12708,-2.86865,146.05713,186.58447
0.65747,0.0741,3.26892,-20.32471,85.20508,203.73535
0.57483,-0.66675,3.72205,-16.90674,24.16992,201.84326
0.55884,-1.1864,3.4823,-34.11865,-47.11914,184.38721
0.54822,-1.50928,3.35657,-0.48828,-113.03711,145.99609
0.55359,-1.61011,2.95203,39.91699,-171.99707,102.53906
0.53809,-1.77905,2.19812,51.3916,-193.29834,49.1333
0.53406,-1.83411,1.49426,85.87646,-217.89551,29.47998
0.48804,-1.59155,0.80798,107.36084,-225.89111,-20.26367
0.36108,-1.39185,0.21045,119.99512,-214.4165,-59.14307
